Index       TIME              V(A)             V(OUT)           V(XFO4:B)         V(XFO4:C)         V(XFO4:D)         V(XFO4:E)    
0        0.00000000e+00    0.00000000e+00    1.80000000e+00    1.79999999e+00    3.81766256e-07    1.80000000e+00    1.39320512e-07
1        1.00000000e-13    3.60000000e-03    1.80000008e+00    1.80023079e+00    9.70203354e-06    1.80000101e+00    2.36264082e-07
2        3.00000000e-13    1.08000000e-02    1.80000018e+00    1.80068926e+00    2.77302373e-05    1.80000276e+00    3.63685528e-07
3        7.00000000e-13    2.52000000e-02    1.80000033e+00    1.80160213e+00    6.31532627e-05    1.80000607e+00    5.81187625e-07
4        1.50000000e-12    5.40000000e-02    1.80000048e+00    1.80340512e+00    1.30538652e-04    1.80001207e+00    9.08826505e-07
5        3.10000000e-12    1.11600000e-01    1.80000055e+00    1.80692750e+00    2.52645192e-04    1.80002240e+00    1.33986109e-06
6        6.30000000e-12    2.26800000e-01    1.80000032e+00    1.81370059e+00    4.54012120e-04    1.80003738e+00    1.66933203e-06
7        1.27000000e-11    4.57200000e-01    1.79999992e+00    1.82676352e+00    7.40183578e-04    1.80005268e+00    1.50533387e-06
8        2.55000000e-11    9.18000000e-01    1.79999943e+00    1.83160467e+00    4.60250561e-04    1.80001030e+00   -1.09962620e-06
9        2.70314702e-11    9.73132929e-01    1.79999924e+00    1.82715580e+00    2.58773464e-04    1.79999216e+00   -1.89278016e-06
10       2.85629405e-11    1.02826586e+00    1.79999904e+00    1.82136426e+00    1.50834382e-05    1.79997128e+00   -2.77702292e-06
11       3.16258810e-11    1.13853172e+00    1.79999857e+00    1.80142675e+00   -7.29244796e-04    1.79991122e+00   -5.12349192e-06
12       3.46888215e-11    1.24879757e+00    1.79999829e+00    1.77030917e+00   -1.76849401e-03    1.79983289e+00   -7.68767748e-06
13       3.77517620e-11    1.35906343e+00    1.79999802e+00    1.72623648e+00   -3.13607496e-03    1.79973527e+00   -1.05513360e-05
14       4.08147025e-11    1.46932929e+00    1.79999803e+00    1.67004782e+00   -4.78008789e-03    1.79962518e+00   -1.31807980e-05
15       4.38776429e-11    1.57959515e+00    1.79999807e+00    1.60245535e+00   -6.68905708e-03    1.79950464e+00   -1.56608019e-05
16       4.69405834e-11    1.68986100e+00    1.79999812e+00    1.52390597e+00   -8.90293583e-03    1.79937162e+00   -1.81018238e-05
17       5.00000000e-11    1.80000000e+00    1.79999798e+00    1.43505510e+00   -1.14973878e-02    1.79922082e+00   -2.08685236e-05
18       5.03062940e-11    1.80000000e+00    1.79999788e+00    1.42521272e+00   -1.17996772e-02    1.79920290e+00   -2.12918235e-05
19       5.05819587e-11    1.80000000e+00    1.79999784e+00    1.41637193e+00   -1.20712294e-02    1.79918709e+00   -2.16154912e-05
20       5.11332880e-11    1.80000000e+00    1.79999780e+00    1.39872628e+00   -1.26157720e-02    1.79915570e+00   -2.22180927e-05
21       5.22359466e-11    1.80000000e+00    1.79999789e+00    1.36361714e+00   -1.37013274e-02    1.79909526e+00   -2.31405900e-05
22       5.44412637e-11    1.80000000e+00    1.79999834e+00    1.29412436e+00   -1.58585935e-02    1.79898289e+00   -2.42216875e-05
23       5.88518980e-11    1.80000000e+00    1.79999981e+00    1.15790480e+00   -1.99495908e-02    1.79880313e+00   -2.35799026e-05
24       6.76731666e-11    1.80000000e+00    1.80000535e+00    8.95192965e-01   -2.41337141e-02    1.79882895e+00   -7.07011089e-06
25       7.64944353e-11    1.80000000e+00    1.80001388e+00    6.44238638e-01   -1.51210749e-02    1.79986066e+00    3.93505624e-05
26       8.53157039e-11    1.80000000e+00    1.80002427e+00    4.13260802e-01    1.83615765e-02    1.80257512e+00    1.23968378e-04
27       9.41369725e-11    1.80000000e+00    1.80002320e+00    2.32747185e-01    7.96596501e-02    1.80675671e+00    2.12791840e-04
28       1.01377861e-10    1.80000000e+00    1.80001579e+00    1.35232683e-01    1.46586893e-01    1.81073056e+00    2.64804793e-04
29       1.07894661e-10    1.80000000e+00    1.80000813e+00    8.04415408e-02    2.14951160e-01    1.81434295e+00    2.89313678e-04
30       1.14411460e-10    1.80000000e+00    1.80000217e+00    4.71986552e-02    2.87523717e-01    1.81781803e+00    2.96739454e-04
31       1.20928260e-10    1.80000000e+00    1.79999893e+00    2.77376878e-02    3.61996607e-01    1.82112585e+00    2.94035555e-04
32       1.33961859e-10    1.80000000e+00    1.79999793e+00    9.44497578e-03    5.10902935e-01    1.82747870e+00    2.83437304e-04
33       1.46995458e-10    1.80000000e+00    1.79999502e+00    4.21049600e-03    6.55423004e-01    1.83321894e+00    2.59032724e-04
34       1.60029058e-10    1.80000000e+00    1.79995298e+00    2.69298094e-03    7.92561706e-01    1.83303253e+00    4.49179376e-05
35       1.73062657e-10    1.80000000e+00    1.79984839e+00    2.19828522e-03    9.21194528e-01    1.81349026e+00   -6.84230643e-04
36       1.86096256e-10    1.80000000e+00    1.79974593e+00    2.00806457e-03    1.04134944e+00    1.76149483e+00   -1.99345781e-03
37       1.99129855e-10    1.80000000e+00    1.79961810e+00    2.03532669e-03    1.15826357e+00    1.66565470e+00   -3.98937604e-03
38       2.10860095e-10    1.80000000e+00    1.79953790e+00    2.20668647e-03    1.25603540e+00    1.54321789e+00   -6.26125064e-03
39       2.22590334e-10    1.80000000e+00    1.79939765e+00    2.48274784e-03    1.34236284e+00    1.39528703e+00   -9.18666527e-03
40       2.34320573e-10    1.80000000e+00    1.79924143e+00    2.72890788e-03    1.41682560e+00    1.23229857e+00   -1.29058699e-02
41       2.46050813e-10    1.80000000e+00    1.79973309e+00    2.81072531e-03    1.48014755e+00    1.06091281e+00   -1.47234252e-02
42       2.57781052e-10    1.80000000e+00    1.80246869e+00    2.70751827e-03    1.53313815e+00    8.82799858e-01   -5.78789577e-03
43       2.69511291e-10    1.80000000e+00    1.80878405e+00    2.47398250e-03    1.57695690e+00    6.99055148e-01    2.96478327e-02
44       2.81241531e-10    1.80000000e+00    1.82034324e+00    2.14864557e-03    1.61213024e+00    5.06195645e-01    1.12556551e-01
45       2.91572927e-10    1.80000000e+00    1.83419939e+00    1.78115990e-03    1.63557057e+00    3.40734509e-01    2.33888332e-01
46       3.00871184e-10    1.80000000e+00    1.85018665e+00    1.47968593e-03    1.65227682e+00    2.18214115e-01    3.79456193e-01
47       3.09239615e-10    1.80000000e+00    1.86858249e+00    1.34952662e-03    1.66686198e+00    1.39852859e-01    5.30759150e-01
48       3.17608046e-10    1.80000000e+00    1.88641570e+00    1.30554578e-03    1.68162053e+00    8.85228905e-02    6.88234321e-01
49       3.19024722e-10    1.80000000e+00    1.88745875e+00    1.30265529e-03    1.68412905e+00    8.23204315e-02    7.14430337e-01
50       3.21858073e-10    1.80000000e+00    1.88430174e+00    1.29533642e-03    1.68908604e+00    7.07813378e-02    7.64888211e-01
51       3.24691424e-10    1.80000000e+00    1.86879967e+00    1.28590936e-03    1.69395734e+00    6.08667920e-02    8.11111441e-01
52       3.27524775e-10    1.80000000e+00    1.83728796e+00    1.27377389e-03    1.69872566e+00    5.23424871e-02    8.52725586e-01
53       3.30358126e-10    1.80000000e+00    1.78783412e+00    1.25892061e-03    1.70338153e+00    4.50731873e-02    8.90948000e-01
54       3.33191477e-10    1.80000000e+00    1.72312486e+00    1.24188849e-03    1.70792564e+00    3.89940869e-02    9.28111433e-01
55       3.33632968e-10    1.80000000e+00    1.70880825e+00    1.23928641e-03    1.70862640e+00    3.82028361e-02    9.34612024e-01
56       3.34074458e-10    1.80000000e+00    1.69249813e+00    1.23673468e-03    1.70932684e+00    3.74343048e-02    9.41311592e-01
57       3.34957438e-10    1.80000000e+00    1.65172111e+00    1.23133641e-03    1.71071734e+00    3.59609311e-02    9.54756714e-01
58       3.35840419e-10    1.80000000e+00    1.60151108e+00    1.22564297e-03    1.71209513e+00    3.45786050e-02    9.68233118e-01
59       3.36723399e-10    1.80000000e+00    1.54425717e+00    1.21945760e-03    1.71345684e+00    3.32574498e-02    9.81369367e-01
60       3.38489360e-10    1.80000000e+00    1.41417988e+00    1.20582138e-03    1.71613278e+00    3.07898328e-02    1.00648474e+00
61       3.42021282e-10    1.80000000e+00    1.10853713e+00    1.17408297e-03    1.72129241e+00    2.64748668e-02    1.05240923e+00
62       3.45553204e-10    1.80000000e+00    7.60812244e-01    1.13794413e-03    1.72620464e+00    2.29579008e-02    1.09412734e+00
63       3.49085127e-10    1.80000000e+00    4.03911844e-01    1.09903315e-03    1.73088064e+00    2.02065840e-02    1.13370915e+00
64       3.49503031e-10    1.80000000e+00    3.63857809e-01    1.09424917e-03    1.73141662e+00    1.99306521e-02    1.13825281e+00
65       3.50338839e-10    1.80000000e+00    2.88618609e-01    1.08454457e-03    1.73248052e+00    1.93835186e-02    1.14707085e+00
66       3.52010455e-10    1.80000000e+00    1.73728496e-01    1.06457344e-03    1.73456437e+00    1.83462082e-02    1.16372755e+00
67       3.53490687e-10    1.80000000e+00    1.09065722e-01    1.04760074e-03    1.73638167e+00    1.76679857e-02    1.17986261e+00
68       3.54970919e-10    1.80000000e+00    7.03954119e-02    1.03193538e-03    1.73818475e+00    1.73199827e-02    1.19893523e+00
69       3.56451150e-10    1.80000000e+00    4.84973624e-02    1.01717461e-03    1.73996963e+00    1.72625765e-02    1.22030299e+00
70       3.57931382e-10    1.80000000e+00    3.63954335e-02    1.00277430e-03    1.74172935e+00    1.74311125e-02    1.24295043e+00
71       3.60891845e-10    1.80000000e+00    2.47921954e-02    9.73796922e-04    1.74515511e+00    1.82519164e-02    1.28912942e+00
72       3.63852308e-10    1.80000000e+00    2.00445273e-02    9.43972068e-04    1.74844562e+00    1.95823160e-02    1.33451234e+00
